5882   55
2652   97
1303   86
1019   88
5770   72
6918   56
3785   77
1761   62
6401   92
2417   81
3614   51
4613   72
6742  100
5903   69
5194   48
4199   73
4097   86
2855  100
3292   70
1960   92
2157   88
6020   72
3583   83
6921   50
4440   77
2910   98
5750   83
1762   84
4765   66
2304  100
6289   85
3946  100
3457   83
5451   87
6007   94
3882   81
6930   86
4310   66
1281  100
3046   86
1707   60
3087   52
2382   88
2749   79
5134   72
5529   94
1318   94
1273   88
2977   56
1697  100
4660   73
6933   78
1894   75
3157   79
2187   92
2623   68
6270   57
2531   77
4603   85
2707   75
4235   70
1929   75
2479   86
5171   84
1890   57
5419   90
4784   74
3328   75
1534   73
4194   88
6906   99
1063  100
3323   93
2393   95
5572   80
4884   91
3806   70
6616  100
4911   68
4434   79
6129   85
1970   74
2132   76
3865   82
5091   78
1076   65
6522   88
1549   53
6785   95
2936   76
4278   78
5522   74
5271   97
2794  100
1754  100
5711   85
6460  100
4509   71
1941   91
4941   93
2402   69
5381   88
2567   80
5916   74
4420   84
6255   67
1357   54
2860   51
2812   75
4829   85
5726   38
5675   97
1406   84
6429   62
6404   60
1379   74
3076   76
4885   70
2133   76
6127   45
5590   89
6559   53
5913   72
5991   81
4796   95
1834   62
4977   53
3506   81
1048   88
4958   94
3687   62
5775   95
4002   79
2467   96
3596   93
6062   78
4883   99
2032   84
1997   56
1784   56
1765   84
6589   86
3772   76
3827   79
4896   68
6910   88
1809   98
4672   64
3753   67
5781   79
5560   54
2960   58
2820   74
6735   91
6414   84
4764   82
3136   97
2721   86
3142   54
4060   65
3439   89
5961   86
6850   72
4667   78
6291   95
1026   79
6146   99
3392   88
1971   88
1617   89
1054   80
3214  100
6132   88
5036   90
5136   44
3040   78
3607   76
1417   88
6149   73
3974   94
5603   67
1619   88
5922  100
3848   89
3931   76
3463   84
5797   68
6606   86
3169   65
4629   81
5054   86
6079   61
3065   72
5455   81
2604   87
3348   69
6743   84
4630   90
1930   78
1585  100
6871   67
5418   70
4771  100
4970  100
3653   83
3175  100
2494   84
3553   91
3787  100
6764   64
2010   88
6469  100
1267   72
5880   90
1638   49
5866   79
3773   72
2923   67
5433  100
6913   85
2075   69
1375   72
6489   75
5332   91
3372   91
1851   62
5581   80
2797   96
5310   69
3885   89
5907   97
6497   67
5941   71
3158  100
2315   79
5471   79
2038   66
6869   76
2320   86
5396   78
2875   74
2869   68
5409   83
6779   61
5746   70
2353   74
3393   87
5350   54
6687   78
6900   82
5005   82
3795   93
3095   72
4915   77
1419   71
3814   94
3085   90
1867   67
6652   77
3835   62
3489   64
3781   69
1933   77
5576  100
3954   96
3377   70
4333   70
4450   57
4519  100
1632   78
5073   80
5652   57
2244  100
2888   77
6586   82
3334   97
3567   48
4239   94
2967   82
6313   87
1842   71
6433   60
4731  100
6537   75
5856  100
4898   90
6288   80
3948  100
6753   68
2848   84
2331   98
5863   80
1774   81
2900  100
1662   96
2324  100
4913   87
5235   61
6302   69
6328   66
3251   60
2649   80
5048   84
2305   78
1986   85
1235   81
4568   71
3086   93
5804   68
4041   92
2991   94
1710   57
3809   97
1704   76
4739   87
5583   71
2950   89
5221   84
3981  100
6860   90
1184   85
3164   66
1628   68
5763   70
1992   59
2021   81
5446   73
6240   90
2718   77
1595  100
2882   81
3469   86
3199  100
5024   87
1664   64
2709   79
2009   86
4662   84
2233   65
3288   90
4160   92
1161   80
4675   83
6016   74
